No;Tingkat;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Jawaban
1;SMA;"Complete the dialogue: ""I ... visit my grandmother next week. I already bought the train ticket.""";will;am going to;would like;might;B
2;SMA;"Sinta: ""I won the English debate competition yesterday!"" / Rama: ""...""";I am sorry to hear that;Congratulations on your success;Thank you very much;Don't worry about it;B
3;SMA;"Complete the sentence: ""The Taj Mahal ... by Shah Jahan in memory of his third wife.""";is built;was built;builds;was building;B
4;SMA;An official written statement to inform people about something is called an...;Letter;Announcement;Advertisement;Recount;B
5;SMA;"Read the notice: ""No food or drink allowed in the laboratory."" What does it mean?";You can eat outside the lab;You must not bring food or drink into the lab;Food is free inside the lab;Drinking is permitted;B
6;SMA;"Complete the sentence: ""I ... my homework yet. Can you wait for me?""";have not finished;did not finish;do not finish;am not finishing;A
7;SMA;"Complete the sentence: ""She ... in London for three years before she moved to Paris.""";has lived;lived;lives;is living;B
8;SMA;Text that intends to explain the steps of how something is made or achieved is called...;Narrative;Descriptive;Procedure;Report;C
9;SMA;"Complete the sentence: ""If you heat ice, it ... into water.""";melt;melts;melted;will melt;B
10;SMA;"Complete the sentence: ""We ... to the zoo last Sunday.""";go;goes;went;gone;C
11;SMA;What is the synonym of the word 'huge'?;Small;Tiny;Enormous;Narrow;C
12;SMA;What is the antonym of the word 'brave'?;Fearless;Cowardly;Smart;Strong;B
13;SMA;"Complete the sentence: ""The students ... English when the teacher entered the classroom.""";study;studied;were studying;are studying;C
14;SMA;"Complete the sentence: ""This laptop is ... than the old one.""";good;better;best;more good;B
15;SMA;"Complete the sentence: ""Siti is the ... girl in our classroom.""";smart;smarter;smartest;more smart;C
16;SMA;"Complete the sentence: ""You ... smoke here. It is a non-smoking area.""";must;must not;can;should;B
17;SMA;"Complete the dialogue: ""Would you like some coffee?"" / ""No, thank you. I ... drink tea.""";prefer;rather;like;want;A
18;SMA;"Complete the sentence: ""The room ... by the janitor every morning.""";cleans;is cleaned;was cleaned;cleaning;B
19;SMA;"Complete the sentence: ""I don't have ... money left in my wallet.""";any;some;many;few;A
20;SMA;"Complete the sentence: ""There are ... books on the shelf.""";much;many;any;little;B
21;SMA;Which word is a noun?;Beautiful;Run;Happiness;Quickly;C
22;SMA;Which word is an adverb?;Soft;Slowly;Sleep;Song;B
23;SMA;"Complete the sentence: ""He is interested ... learning Japanese.""";in;on;at;for;A
24;SMA;"Complete the sentence: ""They are proud ... their daughter's achievement.""";of;with;by;at;A
25;SMA;"Rearrange: ""English - they - learning - are - now""";English are they learning now;They are learning English now;Now English they are learning;They learning English are now;B
26;SMA;A text that elaborates the writer's idea about a phenomenon to persuade readers is called...;Analytical Exposition;Narrative;Discussion;Explanation;A
27;SMA;The purpose of an analytical exposition text is to...;Entertain the readers with a story;Persuade the readers that something is the case;Tell the steps to make something;Describe a specific animal;B
28;SMA;The first paragraph of an analytical exposition text is called...;Arguments;Reiteration;Thesis;Recommendation;C
29;SMA;The last paragraph of an analytical exposition text that restates the writer's position is called...;Thesis;Arguments;Reiteration;Resolution;C
30;SMA;Words like 'firstly', 'secondly', 'furthermore' are called...;Action verbs;Passive voice;Connectives or transition words;Nouns;C
31;SMA;"Change to passive: ""Active students join the organization.""";The organization is joined by active students.;The organization was joined by active students.;Active students are joined by the organization.;The organization is join by active students.;A
32;SMA;"Change to passive: ""Andi repaired the car yesterday.""";The car is repaired by Andi yesterday.;The car was repaired by Andi yesterday.;The car repaired Andi yesterday.;The car was repairing by Andi yesterday.;B
33;SMA;"Complete the Conditional Sentence: ""If I ... a king, I would help the poor.""";am;was;were;been;C
34;SMA;"Complete the Conditional Sentence: ""If it rains tomorrow, we ... cancel the match.""";will;would;would have;did;A
35;SMA;"Complete the Conditional Sentence: ""If you had studied harder, you ... passed the exam.""";will have;would have;would;had;B
36;SMA;"Complete the sentence: ""She forgot her umbrella, ... she got wet in the rain.""";because;but;so;although;C
37;SMA;"Complete the sentence: ""He still went to school ... he was feeling sick.""";because;although;so;despite;B
38;SMA;A poem or song that expresses noble feelings and has regular rhythm is called...;Song lyric;Poem;Narrative;Report;B
39;SMA;"Complete the sentence: ""I wish I ... more time to finish this project.""";have;had;having;am having;B
40;SMA;"Complete the sentence: ""The book ... is on the table belongs to Sinta.""";who;whom;which;whose;C
41;SMA;"Complete the sentence: ""The man ... called you yesterday is my uncle.""";who;which;whom;whose;A
42;SMA;"Complete the sentence: ""This is the boy ... mother won the competition.""";who;whom;whose;which;C
43;SMA;"Complete the sentence: ""We decided ... for a walk despite the rain.""";to go;going;gone;go;A
44;SMA;"Complete the sentence: ""She enjoys ... romantic novels in her free time.""";to read;reading;read;reads;B
45;SMA;What does the idiom 'break a leg' mean?;To injure someone;Good luck;To stop working;To feel sad;B
46;SMA;What does the idiom 'piece of cake' mean?;A slice of birthday cake;Very easy task;Hard work;Expensive item;B
47;SMA;"Complete the sentence: ""The house ... built last year.""";is;was;were;are;B
48;SMA;"Complete the sentence: ""By the time the train arrived, she ... for an hour.""";had been waiting;was waiting;is waiting;waits;A
49;SMA;What is the main purpose of a hortatory exposition text?;To entertain people;To persuade people that something should or should not be done;To describe a historic building;To list past holiday events;B
50;SMA;The final paragraph of a hortatory exposition text contains a...;Thesis;Resolution;Recommendation;Complication;C
